%YEAR	MON	DAY	HOUR	MIN	SEC	LAT	LON	DEP	MW	Stk1	Dip1	Rake1	Stk2	Dip2	Rake2	Ptr	Ppl	Ttr	Tpl	Ntr	Npl
2008	11	6	18	27	23	61.61	-142.58	9	3.65	65	65	80	268	27	110	162	19	315	68	69	9
2008	11	15	10	52	50	47.74	-69.72	14	3.57	175	55	70	27	40	116	279	8	34	72	187	16
2008	11	15	14	23	34	66.34	-156.62	17	4.61	350	85	-20	82	70	-175	304	18	38	10	157	69
2008	11	20	11	34	9	69.1	-144.78	11	4.04	117	86	150	210	60	5	168	17	70	24	290	60
2008	11	20	19	23	1	32.36	-115.36	14	4.65	145	76	159	240	70	15	193	4	101	24	292	65
2008	12	3	2	47	30	60.91	-138.11	6	4.15	125	60	109	270	35	60	201	13	75	69	295	17
2008	12	6	4	18	42	34.81	-116.42	9	5.01	165	90	-170	75	80	0	30	7	300	7	165	80
2008	12	28	5	17	7	32.57	-115.54	16	4.25	322	80	165	55	75	10	9	4	278	18	111	72
2009	1	2	14	17	13	58.53	-152.25	62	5.18	235	80	35	138	56	168	2	16	102	31	249	54
2009	1	16	4	15	36	43.23	-110.86	8	4.02	4	55	-93	190	35	-85	260	80	96	10	6	3
2009	1	17	13	56	43	63.61	-150.86	9	4.22	274	64	146	20	60	30	328	3	235	41	61	49
2009	1	30	13	25	4	47.8	-122.54	55	4.52	218	80	-165	125	75	-10	82	18	351	4	249	72
2009	2	15	19	35	0	61.6	-146.31	49	4.43	222	51	-98	55	40	-80	88	82	318	5	227	6
2009	2	24	16	20	23	62.93	-143.68	13	3.96	170	79	139	270	50	15	226	18	122	36	337	48
2009	2	26	9	52	47	42.54	-123.89	43	4.19	325	70	-75	107	25	-125	258	62	43	24	140	14
2009	3	21	8	47	50	43.33	-110.73	6	3.35	144	76	-164	50	75	-15	7	21	277	0	186	69
2009	3	21	19	17	54	62.06	-79.65	1	3.78	275	55	90	95	35	90	5	10	185	80	95	0
2009	3	24	11	55	43	33.31	-115.74	3	4.66	150	76	-159	55	70	-15	14	24	282	4	183	65
2009	3	27	2	58	39	61.01	-138.41	13	4.94	285	70	75	143	25	125	27	24	172	62	290	14
2009	3	28	14	11	21	61	-138.54	13	4.08	288	71	107	65	25	50	5	24	222	60	102	16
2009	3	30	7	6	10	47.6	-123.48	46	3.86	185	60	-65	322	38	-126	141	65	257	12	352	21
2009	4	7	20	12	55	61.47	-149.76	50	4.56	216	55	-87	30	35	-95	140	80	304	10	34	3
2009	4	10	5	50	10	63.45	-151.72	16	4.49	10	65	55	249	42	141	125	13	234	55	26	31
2009	4	16	5	6	3	58.75	-137.59	22	4.47	309	60	87	135	30	95	41	15	211	75	311	2
2009	4	20	21	41	52	45.13	-120.95	17	3.35	85	90	-25	175	65	-180	37	17	133	17	265	65
2009	4	21	10	25	44	33.01	-87.14	2	3.3	183	71	159	280	70	20	232	1	141	28	323	62
