-112.786	50.563	82	0.05
-112.857	50.028	61	0.05
-112.863	50.032	46	0.05
-113.405	50.014	39	0.1
-113.49	50.087	48	0.1
-112.599	50.814	53	0.05
-115.723	53.336	32	0.2
-117.944	53.747	43	0.3
-117.261	54.125	45	0.3
-110.734	54.699	41	0.05
-119.612	54.976	31	0.2
-112.887	52.374	51	0.05
-114.179	52.401	42	0.1
-111.789	52.432	39	0.1
-111.639	52.519	52	0.2
-113.115	52.783	44	0.05
-113.351	52.896	59	0.1
-116.042	52.911	58	0.2
-120.565	56.528	43	0.2
-117.954	54.823	45	0.2
-116.234	52.912	46	0.2
-117.954	54.823	45	0.2
-119.702	57.289	61	0.2
-118.615	56.648	10	0.1
-119.702	57.289	61	0.2
-116.234	52.912	44	0.2
-117.954	54.823	31	0.2
-118.615	56.648	10	0.1
-117.825	55.453	25	0.2
-118.683	55.34	39	0.2
-115.548	55.012	21	0.1
-119.814	56.748	47	0.2
-119.814	56.748	47	0.2
-119.814	56.748	54	0.2
-116.013	56.181	45	0.2
-117.797	54.986	30	0.2
-116.117	56.279	20	0.2
-115.903	56.825	29	0.1
-118.907	56.198	46	0.2
-115.343	54.821	38	0.2
-121.354	58.683	68	0.2
-118.683	55.34	35	0.1
-118.615	56.648	116	0.2
-115.688	53.297	48	0.2
-116.656	55.924	55	0.2
-115.866	53.091	49	0.2
-119.287	54.986	32	0.1
-116.234	52.912	54	0.1
-117.064	53.455	52	0.1
-115.415	56.365	37	0.2
-118.733	57.354	59	0.2
-121.025	59.703	68	0.1
-115.274	53.385	59	0.1
-116.909	55.485	13	0.2
-112.89	52.075	65	0.1
-115.176	53.595	31	0.1
-115.548	55.012	14	0.1
-119.217	54.994	43	0.1
-117.634	56.664	42	0.05
-114.317	52.285	54	0.1
-117.841	55.816	40	0.1
-112.89	52.075	67	0.1
-119.702	57.289	43	0.1
-118.683	55.34	54	0.1
-117.261	54.126	50	0.1
-116.117	56.279	38	0.1
-117.954	54.823	40	0.1
-117.755	55.718	19	0.1
-118.615	56.648	18	0.1
-117.825	55.453	42	0.05
-117.755	55.718	25	0.05
-119.814	56.748	52	0.05
-119.814	56.748	67	0.05
-119.702	57.289	54	0.05
-116.013	56.181	45	0.05
-116.458	52.995	53	0.3
-115.87	53.09	41	0.2
-118.73	57.35	83	0.05
-112	50.28	73	0.2
-114.6	51.54	57	0.3
-114.861	51.986	59	0.2
-114.87	52.1	63	0.2
-115.274	53.385	58	0.1
-115.129	53.481	47	0.3
-117.07	53.46	52	0.2
-116.09	54.18	64	0.2
-115.95	53.86	46	0.2
-116.54	54.07	49	0.2
-121.485	55.896	34	0.3
-116.88	54.383	57	0.2
-115.34	54.82	37	0.2
-119.218	54.994	42	0.2
-114.32	52.29	52	0.2
-119.73	56.13	27	0.1
-115.38	56.03	33	0.3
-118.93	56.2	25	0.2
-118.14	56.44	26	0.1
-115.08	56.66	44	0.1
-119.47	57.36	46	0.05
-119.29	58.5	53	0.1
-119.57	58.77	61	0.2
-118.47	59.02	88	0.1
-112.97	52.998	49	0.2
-118.96	59.12	50	0.1
-115.81	52.72	54	0.2
-116.234	52.912	45	0.3
-112.889	52.076	62	0.1
-115.549	55.012	30	0.1
