-107.04	38.89	1	67	-34	999	999	999	999	999	999	999	999	999
-110.27	37.245	305	60	-90	999	999	999	999	999	999	999	999	999
-107.04	38.89	160	45	-104	999	999	999	999	999	999	999	999	999
-107.04	38.89	120	66	-154	999	999	999	999	999	999	999	999	999
-107.04	38.89	101	59	-153	999	999	999	999	999	999	999	999	999
-107.04	38.89	331	62	-59	999	999	999	999	999	999	999	999	999
-107.04	38.89	346	47	-89	999	999	999	999	999	999	999	999	999
-89.66	35.65	235	85	90	999	999	999	999	999	999	999	999	999
-110.11	37.226	305	45	-90	999	999	999	999	999	999	999	999	999
-71.576	43.412	150	44	74	351	48	104	999	999	999	999	999	999
-109.48	38.213	360	90	90	999	999	999	999	999	999	999	999	999
-107.04	38.89	164	43	-91	999	999	999	999	999	999	999	999	999
-109.66	37.919	275	45	-90	999	999	999	999	999	999	999	999	999
-115.22	32.15	202	70	2	112	88	160	999	999	999	999	999	999
-120	35.57	300	46	38	181	64	130	999	999	999	999	999	999
-84.19	36.34	268.13	64.34	16.1	188	84	140	999	999	999	999	999	999
-84.23	35.57	268.25	84.95	-2.68	275	83	45	999	999	999	999	999	999
-84.23	35.57	264.34	86.6	19.72	185	73	-170	999	999	999	999	999	999
-69.101	45.181	319	43	19	215	77	131	275	21	164	43	999	999
-87.95	38.71	40	76	159	135	70	15	88	4	356	24	187	65
-83.82	36.1	35.601	77.052	-172.36	307	55	-14	999	999	999	999	999	999
-83.82	36.11	36.085	78.684	-146.66	41	76	-148	999	999	999	999	999	999
-124.19	40.28	136	90	180	226	90	0	999	999	999	999	999	999
-70.565	44.96	311	47	-25	59	72	-135	999	999	999	999	999	999
-84.4	35.52	263.8	85.67	-59.91	7	82	-130	999	999	999	999	999	999
-84.32	35.63	270.03	84.28	8.22	196	62	-158	999	999	999	999	999	999
-118.25	33.99	270	31	98	81	59	85	999	999	999	999	999	999
-117.76	34.24	148	90	180	238	90	0	999	999	999	999	999	999
-116	33.02	133	78	178	224	88	12	999	999	999	999	999	999
-115.69	33.02	305	90	180	35	90	0	999	999	999	999	999	999
-61.39	34.53	182	29	123	326	66	74	999	999	999	999	999	999
-84.19	35.28	40	71	-150	40	71	-150	999	999	999	999	999	999
-114.15	29.62	127	72	-177	36	87	-18	999	999	999	999	999	999
-84.67	35.36	60.93	62.97	-30.68	59	48	-29	999	999	999	999	999	999
-83.82	35.33	332	50	23	226	73	138	999	999	999	999	999	999
-83.99	35.82	22.422	71.255	-172.9	22	71	-173	999	999	999	999	999	999
-124.29	62.39	170	39	101	335.96	51.85	81.22	999	999	999	999	999	999
-84.21	35.78	258.41	68.37	-28.21	9	66	-141	999	999	999	999	999	999
-83.74	36.11	55.59	72.77	-98.37	214	42	-162	999	999	999	999	999	999
-124.41	62.07	165	32	127	303.38	64.96	69.39	999	999	999	999	999	999
-121.74	37.38	325	76	-175	234	85	-14	999	999	999	999	999	999
-114.08	44.456	115	48	-94	300.97	42.15	-85.57	999	999	999	999	999	999
-112.09	39.29	295	90	180	25	90	0	999	999	999	999	999	999
-84.43	35.5	263.11	77.05	-59.13	22	36	-149	999	999	999	999	999	999
-125.06	40.99	282	90	180	12	90	0	999	999	999	999	999	999
-121.63	37.06	235	41	29	123	71	128	999	999	999	999	999	999
-109.99	25.52	141	67	178	231.78	88.16	23.01	999	999	999	999	999	999
-83.93	36.61	216.79	56.17	-157.24	217	56	-157	999	999	999	999	999	999
-99.563	39.252	283	70	-120	999	999	999	999	999	999	999	999	999
-118.25	37.98	170	76	176	260.97	86.12	14.03	999	999	999	999	999	999
-124.94	40.06	307	90	-180	37	90	0	999	999	999	999	999	999
-89.73	35.58	220	44	127	999	999	999	999	999	999	999	999	999
-89.65	35.79	53	60	-166	999	999	999	999	999	999	999	999	999
-89.58	37.16	140	75	50	33	42	157	259	20	10	45	152	38
-75.59	46.47	321	48	90	141	42	90	51	3	231	87	321	0
-119.13	38.05	143	84	-137	47.43	47.29	-8.18	999	999	999	999	999	999
-89.62	36.54	310	80	0	999	999	999	999	999	999	999	999	999
-113.7	30.12	164	90	-180	254	90	0	999	999	999	999	999	999
-118.06	34.11	307	73	169	40	80	17	999	999	999	999	999	999
-124.1	40.25	300	90	-180	30	90	0	999	999	999	999	999	999
-89.53	36.44	204	69	108	999	999	999	999	999	999	999	999	999
-89.83	36.56	352	72	156	90	67	20	42	3	310	30	137	60
-118	34.26	93	43	130	223	58	58	999	999	999	999	999	999
-89.45	36.15	330	40	100	999	999	999	999	999	999	999	999	999
-125.64	41.28	267	90	-180	177	90	0	999	999	999	999	999	999
-124.38	40.02	311	22	51	173	73	104	999	999	999	999	999	999
-119.32	38.17	56	59	-10	151	82	-149	999	999	999	999	999	999
-89.5	35.83	248	71	173	999	999	999	999	999	999	999	999	999
-116.52	34.07	81	87	-1	171	89	-177	999	999	999	999	999	999
-124.31	40.25	331	9	68	173	82	93	999	999	999	999	999	999
-124.61	40.37	123	75	172	215	83	15	999	999	999	999	999	999
-124.69	40.42	222	67	1	132	89	157	999	999	999	999	999	999
-115.27	27.64	150	90	-180	240	90	0	999	999	999	999	999	999
-124.38	40.45	27	18	29	269	81	106	999	999	999	999	999	999
-117.24	34.27	318	88	178	48	88	2	999	999	999	999	999	999
-116.65	34.65	341	70	-172	248	82	-20	999	999	999	999	999	999
-116.3	36.72	180	42	-131	49.47	59.67	-59.43	999	999	999	999	999	999
-116.5	33.97	334	77	173	66	83	13	999	999	999	999	999	999
-116.4	34.11	50	18	-52	190	76	-101	999	999	999	999	999	999
-116.68	36.6	197	45	-118	54	51	-65	999	999	999	999	999	999
-116.36	34	3	15	-100	194	75	-87	999	999	999	999	999	999
-116.72	34.5	101	42	139	223	64	56	999	999	999	999	999	999
-119.16	39.32	237	89	7	146.88	83	178.99	999	999	999	999	999	999
-113.47	37.09	0	38	-110	204.79	54.65	-75.04	999	999	999	999	999	999
-113.79	37.43	195	37	-130	61	63	-64	999	999	999	999	999	999
-116.67	34.49	151	90	-180	241	90	0	999	999	999	999	999	999
-118.58	37.99	76	80	-14	168.48	76.22	-169.7	999	999	999	999	999	999
-116.9	34.37	265	41	62	120	54	112	999	999	999	999	999	999
-90.25	35.23	228	51	127	999	999	999	999	999	999	999	999	999
-85.02	35.05	236.31	64.34	-16.1	324	64	-164	999	999	999	999	999	999
-119.56	40.41	190	47	-92	12.93	43.04	-87.86	999	999	999	999	999	999
-113.43	29.25	160	46	-118	18	51	-64	999	999	999	999	999	999
-122.07	45.17	51	44	32	297	68	129	999	999	999	999	999	999
-111.93	35.99	108	42	-80	275	49	-99	999	999	999	999	999	999
-117.83	37.18	193	48	-102	30.62	43.37	-77	999	999	999	999	999	999
-118.1	36.68	210	30	-93	33	60	-88	999	999	999	999	999	999
-117.8	37.16	184	76	-109	58.91	23.45	-37.45	999	999	999	999	999	999
-117.82	37.07	174	61	-133	56.53	50.23	-39.1	999	999	999	999	999	999
-117.83	37.05	159	87	-144	66.82	54.06	-3.71	999	999	999	999	999	999
-117.82	37.14	206	73	-78	349.98	20.71	-124.22	999	999	999	999	999	999
-117.79	37.13	198	74	-82	350.98	17.84	-115.89	999	999	999	999	999	999
-117.8	37.19	152	73	-141	48.68	53	-21.47	999	999	999	999	999	999
-117.78	37.09	189	65	-95	20.7	25.46	-79.41	999	999	999	999	999	999
-117.8	37.12	190	62	-117	57.34	38.12	-49.51	999	999	999	999	999	999
-117.76	37.01	19	67	-86	188.85	23.33	-99.33	999	999	999	999	999	999
-118.89	37.53	135	35	-136	6.65	66.52	-63.27	999	999	999	999	999	999
-121.92	42.12	170	31	-76	334	60	-98	999	999	999	999	999	999
-122.03	42.17	182	34	-85	357	56	-93	999	999	999	999	999	999
-73.46	45.2	316	45	84	144	45	96	50	0	142	86	320	4
-121.82	42.21	139	41	-104	338	51	-78	999	999	999	999	999	999
-76.01	40.34	311	48	73	156	45	108	53	1	150	77	323	13
-76.01	40.34	121	60	66	343	38	125	228	12	346	66	134	21
-76.05	40.34	159	48	102	321	43	77	241	2	136	81	331	9
-76.05	40.34	135	49	68	347	46	113	240	2	336	73	150	16
-118.7	34.22	296	45	91	115	45	89	999	999	999	999	999	999
-118.64	34.44	278	42	65	130	53	111	999	999	999	999	999	999
-119.11	34.02	110	44	92	288	46	88	999	999	999	999	999	999
-110.78	42.76	352	18	-131	214.43	76.51	-77.97	999	999	999	999	999	999
-110.94	42.68	4	40	-79	170	51	-99	999	999	999	999	999	999
-89.19	37.36	123	81	20	30	70	170	255	7	348	21	147	68
-118.68	34.32	306	33	105	107	58	80	999	999	999	999	999	999
-121.26	47.61	109	80	113	221.25	24.97	24.29	999	999	999	999	999	999
-121.95	47.18	317	61	116	91.83	38.18	51.66	999	999	999	999	999	999
-119.64	38.81	134	73	-157	36.93	68.06	-18.37	999	999	999	999	999	999
-119.65	38.82	42	61	-49	161.15	48.69	-139.81	999	999	999	999	999	999
-119.67	38.78	13	69	-81	169.16	22.77	-112.17	999	999	999	999	999	999
-119.75	38.74	42	74	-13	135	78	-164	999	999	999	999	999	999
-119.68	38.76	177	46	-91	358.44	44.01	-88.96	999	999	999	999	999	999
-119.61	38.78	130	70	-161	33.28	72.19	-21.05	999	999	999	999	999	999
-119.62	38.84	154	70	-138	46.88	51.04	-26.09	999	999	999	999	999	999
-119.65	38.78	284	73	158	20.74	69.01	18.25	999	999	999	999	999	999
-119.59	38.75	325	84	-171	234.05	81.05	-6.07	999	999	999	999	999	999
-119.58	38.76	64	88	-15	154.54	75.01	-177.93	999	999	999	999	999	999
-119.59	38.76	221	87	-53	314.97	37.1	-175.02	999	999	999	999	999	999
-119.59	38.75	232	85	17	140.47	73.07	174.77	999	999	999	999	999	999
-119.59	38.75	47	86	-27	139.04	63.07	-175.51	999	999	999	999	999	999
-114.93	31.92	149	90	-180	239	90	0	999	999	999	999	999	999
-119.6	38.77	136	70	-147	33.48	59.22	-23.46	999	999	999	999	999	999
-119.69	39.17	230	78	-7	321.46	83.15	-167.91	999	999	999	999	999	999
-124.62	40.94	248	78	6	157	84	168	999	999	999	999	999	999
-119.66	38.78	19	51	-68	166.3	43.9	-114.83	999	999	999	999	999	999
-114.83	44.51	155	70	-30	256	62	-157	113	35	207	5	304	54
-121.53	47.35	147	32	100	315.25	58.54	83.81	999	999	999	999	999	999
-121.53	47.35	147	32	100	316	58	84	999	999	999	999	999	999
-119.66	38.79	17	54	-66	159.86	42.35	-119.24	999	999	999	999	999	999
-118.84	37.6	102	76	-168	9.06	78.36	-14.3	999	999	999	999	999	999
-118.84	37.59	91	67	-150	348.29	62.6	-26.11	999	999	999	999	999	999
-103.3	30.26	114	64	-101	318	28	-69	2	69	212	18	119	10
-119.68	38.79	22	51	-70	171.96	43.09	-112.9	999	999	999	999	999	999
-114.53	48.07	234	80	35	137.07	55.61	167.85	999	999	999	999	999	999
-119.65	39.81	132	40	-160	26.42	77.3	-51.74	999	999	999	999	999	999
-71.91	44.29	337	61	132	95	50	40	38	6	300	53	132	36
-125	48.293	46	57	138	162.12	55.86	41.15	999	999	999	999	999	999
-125.1	48.324	48	54	132	171.14	53.04	47.36	999	999	999	999	999	999
-117.66	35.78	217	63	-63	348.7	37.45	-131.7	999	999	999	999	999	999
-118.06	35.85	54	52	-37	169	62	-135	999	999	999	999	999	999
-117.64	35.76	149	87	-171	58.53	81.01	-3.04	999	999	999	999	999	999
-117.8	35.88	243	81	-5	334	85	-171	999	999	999	999	999	999
-117.62	35.81	288	86	174	18.42	84.01	4.02	999	999	999	999	999	999
-120.01	39.65	194	70	-70	327.22	27.99	-133.22	999	999	999	999	999	999
-119.59	38.73	17	54	-56	148.07	47.88	-127.58	999	999	999	999	999	999
-119.59	38.75	219	72	-32	319.93	59.74	-159.04	999	999	999	999	999	999
-119.61	38.73	318	88	-163	227.39	73.01	-2.09	999	999	999	999	999	999
-119.59	38.75	9	62	-67	146.88	35.63	-126.31	999	999	999	999	999	999
-117.65	35.77	59	83	-9	150.11	81.07	-172.91	999	999	999	999	999	999
-117.64	35.78	176	68	-95	9.15	22.53	-77.83	999	999	999	999	999	999
-123.99	50.014	265	69	120	26.83	36.05	37.51	999	999	999	999	999	999
-119.61	38.72	129	64	-138	17.46	53.03	-33.28	999	999	999	999	999	999
-74.43	45.99	306	54	84	136	36	98	40	9	193	80	310	5
-118.86	37.62	304	58	-176	211.88	86.61	-32.06	999	999	999	999	999	999
-119	37.63	303	55	-169	206.64	81.01	-35.5	999	999	999	999	999	999
-118.86	37.63	303	56	-171	207.94	82.55	-34.33	999	999	999	999	999	999
-121.88	47.754	350	52	78	189.05	39.58	104.9	999	999	999	999	999	999
-121.88	47.75	351	39	72	193.69	53.24	104.05	999	999	999	999	999	999
-121.88	47.75	357	17	54	214.23	76.32	100.19	999	999	999	999	999	999
-115.26	52.24	298	63	88	122.4	27.07	93.92	999	999	999	999	999	999
-119.47	38.63	352	45	-97	181.85	45.43	-83.05	999	999	999	999	999	999
-71.35	44.18	144	60	93	318	30	85	232	15	62	75	322	3
-118.14	37.94	358	61	-178	267.03	88.25	-29.01	999	999	999	999	999	999
-115.22	52.214	302	51	67	156	44.33	115.76	999	999	999	999	999	999
-117.64	35.87	244	71	-3	335	88	-161	999	999	999	999	999	999
-117.65	36.08	334	83	-140	238.16	50.36	-9.11	999	999	999	999	999	999
-90	35.97	216	76	-154	120	65	-15	80	28	346	8	242	61
-119.62	40.01	164	75	-128	55.67	40.43	-23.52	999	999	999	999	999	999
-119.52	38.67	223	71	-39	327.77	53.48	-156.1	999	999	999	999	999	999
-119.51	38.67	225	80	-26	319.84	64.42	-168.9	999	999	999	999	999	999
-124.75	40.33	97	66	168	192	79	24	999	999	999	999	999	999
-118.86	37.57	55	70	-1	145.34	89.06	-160	999	999	999	999	999	999
-118.73	38.07	330	84	162	61.95	72.1	6.31	999	999	999	999	999	999
-118.43	35.45	175	27	-106	12.84	64.13	-82.01	999	999	999	999	999	999
-114.99	40.58	30	50	-100	225	41	-78	247	81	127	5	36	8
-74.19	45.81	311	62	108	96	33	60	27	15	256	68	122	16
-123.62	49.24	259	67	106	42.73	27.77	57	999	999	999	999	999	999
-122.57	47.599	275	65	89	97.37	25.02	92.14	999	999	999	999	999	999
-119.89	48.377	286	49	103	86.61	42.66	75.49	999	999	999	999	999	999
-123.62	49.24	278	56	120	52.08	44.11	53.45	999	999	999	999	999	999
-122.57	47.608	282	58	93	96.35	32.13	85.21	999	999	999	999	999	999
-117.63	35.79	155	83	-164	63	74.12	-7.28	999	999	999	999	999	999
-123.73	47.28	260	41	58	119.62	56.19	114.73	999	999	999	999	999	999
-118.51	38.6	351	68	-109	213.59	28.76	-51.14	999	999	999	999	999	999
-118.51	38.59	340	73	-122	224.93	35.81	-29.98	999	999	999	999	999	999
-118.5	38.59	354	66	-135	241.87	49.76	-32.2	999	999	999	999	999	999
-94.47	18.08	330	20	90	150	70	90	999	999	999	999	999	999
-116.26	36.85	351	83	162	83.27	72.14	7.36	999	999	999	999	999	999
-125.33	40.96	317	76	173	49	84	14	999	999	999	999	999	999
-87.34	31.12	280	45	-90	100	45	-90	0	90	10	0	100	0
-125.21	41.1	320	66	162	57	74	25	999	999	999	999	999	999
-69.91	47.67	27	66	111	164	31	51	102	18	331	63	198	19
-118.42	37.58	190	56	-85	1.11	34.32	-97.36	999	999	999	999	999	999
-118.21	37.85	161	87	-169	70.42	79.02	-3.06	999	999	999	999	999	999
-118.22	37.85	341	86	-167	250.08	77.03	-4.1	999	999	999	999	999	999
-118.2	37.84	257	87	-11	347.58	79.02	-176.94	999	999	999	999	999	999
-118.23	37.87	75	82	16	342.71	74.16	171.68	999	999	999	999	999	999
-120.82	39.95	210	87	-14	300.75	76.02	-176.91	999	999	999	999	999	999
-117.85	37.25	176	57	-108	26.82	37.1	-64.55	999	999	999	999	999	999
-71.35	46.75	39	63	87	226	27	96	131	18	302	72	40	3
-71.42	46.8	45	70	85	239	21	103	139	25	307	65	47	5
-119.19	37.55	238	63	15	141	76	152	999	999	999	999	999	999
-113.8	29.38	59	82	4	329	86	172	999	999	999	999	999	999
-117.85	37.25	339	60	-132	219.96	49.94	-40.79	999	999	999	999	999	999
-118.95	37.64	168	82	-72	281.19	19.64	-155.54	999	999	999	999	999	999
-118.94	37.64	278	83	-145	183.12	55.3	-8.52	999	999	999	999	999	999
-118.92	37.64	82	77	-23	177.45	67.62	-165.92	999	999	999	999	999	999
-118.94	37.64	105	65	-158	5.31	70.15	-26.7	999	999	999	999	999	999
-88.19	64.84	325	55	90	145	35	90	55	10	235	80	145	0
-118.87	37.63	195	84	-30	288.45	60.18	-173.08	999	999	999	999	999	999
-112.46	38.18	132	75	138	235	50	20	189	16	85	40	295	46
-120.17	39.44	223	89	-47	314.07	43.01	-178.53	999	999	999	999	999	999
-120.48	39.84	111	88	170	201.35	80.01	2.03	999	999	999	999	999	999
-118.51	38.19	54	76	-16	147.97	74.49	-165.46	999	999	999	999	999	999
-118.35	49.168	140	89	175	230.09	85	1	999	999	999	999	999	999
-117.64	36.07	329	73	-149	229.04	60.49	-19.63	999	999	999	999	999	999
