%%%% from Lund-Snee and Zoback, 2020 Nature Communicaitons (See supplemental information)
%Lon	Lat	Regime	SHmax	Quality 
%%%%%%%%Regime: normal=0.5, strike-slip=1.5, thrust=2.5
%%%%%%%%Quality: A=0.3, B=0.2, C=0.1, D+=0.075, D=0.05
-104.3	31.88	0	69.7	0.2
-97.65	32.24	0	32	0.2
-97.29	32.55	0	37	0.2
-97.56	33.38	0	29	0.2
-104.2	31.55	0	85.6	0.1
-98	32.09	0	1.1	0.1
-97.34	32.13	0	32.8	0.1
-97.54	32.22	0	35	0.1
-97.77	32.52	0	7.9	0.1
-97.28	32.56	0	39	0.1
-97.73	32.66	0	59	0.1
-97.6	32.84	0	28	0.1
-97.23	33.04	0	29	0.1
-97.7	33.26	0	48	0.1
-104.12	31.66	0	113	0.05
-97.94	32.88	0	93	0.05
-97.81	33.07	0	33	0.05
-100.14	28.39	0	64.7	0.05
-103.21	33.46	0	134.2989	0.1
-101.86	32.51	0	75.2586	0.3
-101.96	31.72	0	88.8273	0.3
-101.96	32.13	0	80.3888	0.3
-102.13	32.29	0	72.2978	0.3
-102.13	32.3	0	78.8285	0.3
-102.01	31.5	0	92.4739	0.3
-101.64	32	0	80.4516	0.3
-101.83	32.44	0	56.3789	0.3
-101.87	32.46	0	68.759	0.3
-101.98	32.51	0	81.3059	0.3
-102.48	32.54	0	86.495	0.3
-102.51	32.65	0	91.2549	0.3
-101.9	32.48	0	73.5616	0.3
-101.8	31.51	0	92.2592	0.3
-102.14	32.22	0	83.3049	0.3
-101.9	31.21	0	109.1046	0.3
-101.87	32.44	0	68.66	0.3
-102.42	32.56	0	82.6858	0.3
-101.47	31.25	0	77.3734	0.3
-101.95	31.8	0	84.1301	0.3
-101.54	31.28	0	88.2087	0.3
-101.7	32.2	0	82.545	0.3
-101.91	32.51	0	72.4259	0.3
-101.93	32.24	0	77.2531	0.3
-101.9	31.22	0	94.5117	0.3
-102.08	32.28	0	73.9184	0.3
-102.02	32.33	0	77.7852	0.3
-102.13	32.29	0	78.7661	0.3
-101.98	31.24	0	90.9746	0.3
-101.61	31.78	0	79.4419	0.3
-101.96	31.23	0	99.5972	0.3
-101.76	32.31	0	83.6786	0.3
-102.09	32.54	0	75.0178	0.3
-102	31.95	0	79.1095	0.3
-103.37	32.02	0	84.9897	0.3
-104.28	32.31	0	32.8353	0.3
-104.17	32.52	0	19.4786	0.3
-104.17	32.51	0	10.5722	0.3
-103.71	32.14	0	71.9854	0.3
-104.32	32.33	0	32.6035	0.3
-103.69	32.17	0	76.3292	0.3
-103.75	32.15	0	71.038	0.3
-103.73	32.15	0	74.4128	0.3
-103.73	32.18	0	70.2552	0.3
-104.07	32.65	0	0.8321	0.3
-104.07	32.64	0	6.4331	0.3
-103.52	32.05	0	81.8527	0.3
-103.49	32.38	0	75.1896	0.3
-104.18	32.38	0	22.3273	0.3
-104.09	32.62	0	-5.9222	0.3
-104.19	32.21	0	41.1586	0.3
-103.45	32.02	0	88.0021	0.3
-103.7	32.1	0	75.363	0.3
-103.8	32.31	0	66.763	0.3
-103.48	32.04	0	78.493	0.3
-103.42	32.05	0	91.7367	0.3
-103.55	32.25	0	78.4146	0.3
-104.21	32.19	0	45.2684	0.3
-103.56	32.27	0	78.4115	0.3
-104.15	32.14	0	43.0897	0.3
-103.34	32.76	0	76.9646	0.2
-103.88	32.63	0	45.1208	0.2
-104.17	32.51	0	5.721	0.2
-103.85	32.66	0	38.3422	0.2
-103.48	32.03	0	85.8934	0.2
-104.17	32.37	0	28.3269	0.2
-104.15	32.49	0	14.7855	0.2
-103.71	32.24	0	71.0608	0.2
-103.83	32.65	0	30.519	0.2
-103.85	32.68	0	37.8339	0.2
-104.17	32.37	0	10.863	0.2
-103.56	32.27	0	78.3633	0.2
-103.74	32.34	0	66.5891	0.2
-104.05	32.63	0	0.0576	0.2
-104.07	32.63	0	5.8062	0.2
-102.95	33.37	0	116.077	0.2
-102.97	33.33	0	110.7111	0.2
-101.94	31.84	0	85.723	0.2
-101.98	31.25	0	87.4934	0.2
-102.1	32.21	0	68.9377	0.2
-101.95	31.8	0	82.3959	0.2
-101.69	32.01	0	79.5362	0.2
-102.13	32.28	0	69.6907	0.2
-101.64	32	0	73.2745	0.2
-101.61	31.77	0	72.3528	0.2
-101.94	31.25	0	83.9547	0.2
-101.79	31.27	0	78.7455	0.2
-101.76	31.74	0	80.277	0.2
-101.99	31.5	0	86.0439	0.2
-101.73	31.45	0	72.1646	0.2
-101.74	31.52	0	80.83	0.2
-101.75	32.03	0	76.968	0.2
-101.21	31.31	0	73.6242	0.2
-101.92	31.24	0	86.0647	0.2
-101.98	31.5	0	92.6838	0.2
-102.05	32.56	0	70.0567	0.2
-101.82	32.48	0	70.9346	0.2
-101.99	32.23	0	79.2123	0.2
-101.97	31.52	0	92.8922	0.2
-101.76	32.31	0	68.572	0.2
-102.1	31.91	0	79.7075	0.2
-102.39	32.56	0	87.2099	0.2
-101.92	31.22	0	91.7773	0.2
-103.9	32.68	0	-9.1246	0.1
-103.26	33.45	0	117.6734	0.1
-101.8	31.43	0	79.1831	0.1
-101.93	31.53	0	82.8538	0.1
-104.09	32.63	0	7.3141	0.05
-101.79	31.2	0	87.1512	0.05
-102.2	32.5	0	66.9448	0.3
-102.2	31.7	0	74.49	0.3
-103.6	32	0	72.29	0.3
-103.8	31.3	0	125.565	0.3
-101	31.3	0	53.23	0.3
-102.1	31.9	0	65.55	0.3
-103.6	31.4	0	138	0.3
-103	32.5	0	60	0.3
-103.2	31.4	0	131.072	0.2
-101.7	31.8	0	78.5979	0.1
-102.6	30.8	0	62.86	0.05
-103.2	33.5	0	134.997	0.2
-88.83	31.88	0	23	0.3
-88.66	31.88	0	24	0.2
-107.78	40.57	0	125.88	0.3
-112.68	48.62	0	54	0.3
-110.23	40.25	0	167	0.3
-110.35	40.23	0	168	0.3
-108.26	39.91	0	111.1	0.3
-108.33	40.94	0	113.0212	0.3
-108.33	40.96	0	116.6	0.3
-108.3	40.95	0	116.8457	0.3
-108.78	41.02	0	154	0.3
-108.78	41.02	0	166.5	0.3
-115.74	40.42	0	28.31	0.3
-104.96	37.24	0	163.1	0.2
-110.21	40.01	0	155.3	0.2
